[debug (30.07.13 18:58:05)] RunSetup: main: ... starting with test
[debug (30.07.13 18:58:07)] RunSetup: user home: /Users/rhocke
[debug (30.07.13 18:58:07)] RunSetup: RunningSystem: Mac OSX 10.8.4
[debug (30.07.13 18:58:07)] RunSetup: parent of jar/classes: /Users/rhocke/SikuliX
[debug (30.07.13 18:58:07)] RunSetup: RunningJava: Java 6 (x86_64) 1.6.0_51-b11-457-11M4509
[debug (30.07.13 18:58:07)] RunSetup: ... it seems SikuliX-1.0rc3 or SikuliX-1.x.x has been used before on this system
[debug (30.07.13 18:58:13)] FileManager: unpackJar: /Users/rhocke/SikuliX/sikuli-macapp.jar to /Users/rhocke/SikuliX
[debug (30.07.13 18:58:13)] FileManager: unpackJar: completed
[debug (30.07.13 18:58:13)] RunSetup: Download ended
[debug (30.07.13 18:58:14)] FileManager: buildJar: /Users/rhocke/SikuliX/sikuli-temp.jar
[debug (30.07.13 18:58:14)] FileManager: buildJar: adding: /Users/rhocke/SikuliX/sikuli-ide.jar
[debug (30.07.13 18:58:14)] FileManager: adding: META-INF/
[debug (30.07.13 18:58:14)] FileManager: adding: META-INF/MANIFEST.MF
[debug (30.07.13 18:58:14)] FileManager: adding: org/
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/script/
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/script/compare/
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/script/App$1.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/script/App$Clipboard$Charset.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/script/App$Clipboard$TextTransferable.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/script/App$Clipboard$TextType.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/script/App$Clipboard$TransferType.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/script/App$Clipboard.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/script/App.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/script/Button.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/script/compare/DistanceComparator.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/script/compare/HorizontalComparator.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/script/compare/VerticalComparator.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/script/Constants.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/script/Env.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/script/EventObserver.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/script/EventSubject.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/script/Finder.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/script/FindFailed.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/script/FindFailedDialog$1.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/script/FindFailedDialog.class
[debug (30.07.13 18:58:14)] FileManager: adding: org/sikuli/script/FindFailedResponse.class
